State & District,Population,Male,Female,Literate,Male_Literate,Female_Literate,SC,Male_SC,Female_SC,ST,Male_ST,Female_ST,Workers,Male_Workers,Female_Workers,Main_Workers,Marginal_Workers,Non_Workers,Cultivator_Workers,Agricultural_Workers,Household_Workers,Other_Workers,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Religion_Not_Stated,LPG_or_PNG_Households,Housholds_with_Electric_Lighting,Households_with_Internet,Households_with_Computer,Rural_Households,Urban_Households,Households,Below_Primary_Education,Primary_Education,Middle_Education,Secondary_Education,Higher_Education,Graduate_Education,Other_Education,Literate_Education,Illiterate_Education,Total_Education,Age_Group_0_29,Age_Group_30_49,Age_Group_50
"district_code:496, state_name:DADRA AND NAGAR HAVELI, district_name:Dadra AND Nagar Haveli",343709,193760,149949,223230,142521,80709,6186,3339,2847,178564,88844,89720,157161,119293,37868,130299,26862,186548,28164,17799,2195,109003,322857,12922,5113,217,634,1186,293,487,29101,69558,2013,6017,48221,60562,108783,24701,69140,32004,37809,22700,19655,3566,209575,91055,300630,225103,87888,30346
"district_code:497, state_name:MAHARASHTRA, district_name:Nandurbar",1648295,833170,815125,906509,512099,394410,47985,24273,23712,1141933,568026,573907,792065,442898,349167,664193,127872,856230,211672,438176,14599,127618,1521618,96182,8467,685,4969,6191,2907,7276,54335,186202,2579,17047,333440,71572,405012,166664,218718,121404,160961,113019,58461,9248,848475,790613,1639088,1011352,390419,241534
"district_code:498, state_name:MAHARASHTRA, district_name:Dhule",2050862,1054031,996831,1293916,723388,570528,127571,65068,62503,647315,327034,320281,936370,570448,365922,825875,110495,1114492,239139,429536,20646,247049,1825460,187901,3653,1422,13405,12818,912,5291,126138,315332,6065,27139,382777,146013,528790,200494,323641,208571,290656,182739,114931,14526,1335558,649568,1985126,1167569,513908,350747
"district_code:499, state_name:MAHARASHTRA, district_name:Jalgaon",4229917,2197365,2032552,2891882,1629223,1262659,389273,199427,189846,604367,310150,294217,1863571,1186472,677099,1643955,219616,2366346,384359,937174,38930,503108,3457615,560261,7091,3091,143865,27404,9662,20928,350029,720791,14297,56775,796223,373565,1169788,482462,735730,532587,627198,375643,229987,31008,3014615,1003050,4017665,2352671,1080237,763529
"district_code:500, state_name:MAHARASHTRA, district_name:Buldana",2586258,1337560,1248698,1879874,1048892,830982,470895,241445,229450,124837,64153,60684,1219641,734024,485617,1107542,112099,1366617,385447,603227,13770,217197,1845424,354236,3531,1668,364229,12242,522,4406,103898,423036,4767,24877,575405,152787,728192,315408,457067,400342,406379,228266,113783,19619,1940864,600436,2541300,1467457,641840,473071
"district_code:501, state_name:MAHARASHTRA, district_name:Akola",1813906,932334,881572,1411281,758977,652304,364059,186244,177815,100280,51359,48921,768154,520362,247792,691025,77129,1045752,129680,388521,9660,240293,1107809,357253,4483,1504,328033,10205,389,4230,107463,314490,6163,24232,308158,196077,504235,231841,328367,275264,291391,205723,112574,15157,1460317,352687,1813004,998769,483200,327932
"district_code:502, state_name:MAHARASHTRA, district_name:Washim",1197160,620302,576858,869917,487703,382214,229462,117867,111595,80471,41403,39068,569792,340353,229439,502755,67037,627368,165598,310195,7122,86877,859949,142672,1707,518,179330,8476,381,4127,36840,196022,1875,10757,274925,55921,330846,166509,238985,160331,162762,116032,47865,7294,899778,291525,1191303,682919,302425,210185
"district_code:503, state_name:MAHARASHTRA, district_name:Amravati",2888445,1480768,1407677,2251875,1207104,1044771,506374,259398,246976,404128,205834,198294,1236322,837577,398745,1061544,174778,1652123,198793,667943,20998,348588,2055177,421410,7223,2242,383891,11360,3288,3854,175917,512492,9438,36185,508921,272894,781815,326195,468853,463051,525116,346876,203273,16148,2349512,478074,2827586,1540590,783549,553265
"district_code:504, state_name:MAHARASHTRA, district_name:Wardha",1300774,668385,632389,1019458,552617,466841,188830,96569,92261,149507,76698,72809,608235,392316,215919,529623,78612,692539,132989,282170,13785,179291,1057096,53854,2696,2147,175417,5663,2254,1647,114029,266155,4313,16260,268486,120218,388704,140470,186781,201471,225208,158055,93772,7017,1012774,212054,1224828,659540,370227,270107
"district_code:505, state_name:MAHARASHTRA, district_name:Nagpur",4653570,2384975,2268595,3673808,1959220,1714588,867713,439205,428508,437571,223566,214005,1868560,1334211,534349,1654778,213782,2785010,206606,423587,52419,1185948,3492202,390974,34667,20469,668050,24528,12181,10499,599780,917626,57964,135750,430844,877522,1308366,325084,666693,812381,790443,542228,493236,73475,3703540,601547,4305087,2460820,1361821,818467
"district_code:506, state_name:MAHARASHTRA, district_name:Bhandara",1200334,605520,594814,899860,488709,411151,200372,100421,99951,88886,44515,44371,597305,345054,252251,413838,183467,603029,123099,312183,17169,144854,1009352,26502,2145,831,154458,1017,3555,2474,55948,227025,2932,13165,283843,72575,356418,115150,187870,208902,204435,153749,67061,12452,949619,235524,1185143,626978,333120,232754
"district_code:507, state_name:MAHARASHTRA, district_name:Gondiya",1322507,661554,660953,1004243,542837,461406,175961,87434,88527,214253,105944,108309,665419,383151,282268,433962,231457,657088,186509,281414,32525,164971,1153861,26157,1827,2160,125282,1568,5080,6572,38044,239981,2866,13595,319702,66813,386515,138457,237888,231153,225595,159570,57923,9620,1060206,256549,1316755,704214,371908,244111
"district_code:508, state_name:MAHARASHTRA, district_name:Gadchiroli",1072942,541328,531614,708365,395110,313255,120745,61041,59704,415306,207377,207929,584237,323338,260899,392886,191351,488705,225358,247813,11321,99745,927411,21063,3872,681,82695,454,30047,6719,31014,145459,1663,11064,293586,37254,330840,108850,145767,139482,140345,95911,35809,4154,670318,360229,1030547,605217,289448,175518
"district_code:509, state_name:MAHARASHTRA, district_name:Chandrapur",2204307,1123834,1080473,1578615,872565,706050,348365,176898,171467,389441,196753,192688,1058172,648565,409607,804433,253739,1146135,220978,473983,21346,341865,1780085,92297,10701,5251,286734,3861,23188,2190,172661,418666,8239,31419,451324,233331,684655,243773,316192,337320,351610,241179,126488,15040,1631602,516728,2148330,1163802,629890,403719
"district_code:510, state_name:MAHARASHTRA, district_name:Yavatmal",2772348,1419965,1352383,2022574,1115980,906594,328518,167009,161509,514057,260896,253161,1355999,815475,540524,1195100,160899,1416349,333504,739718,17899,264878,2251401,239236,4567,1596,249874,11422,3745,10507,134500,446516,6094,29917,629243,168889,798132,391944,562739,382001,389924,245819,123074,21889,2117390,718204,2835594,1549263,733258,483813
"district_code:511, state_name:MAHARASHTRA, district_name:Nanded",3361292,1730075,1631217,2189425,1255222,934203,640483,328797,311686,281695,143892,137803,1493953,925232,568721,1317791,176162,1867339,447823,632395,29158,384577,2501741,471951,3902,13540,354189,5049,1273,9647,116284,488748,7548,43055,591119,230563,821682,416869,691348,368723,416761,255650,156225,21729,2327305,884626,3211931,2008314,809135,535827
"district_code:512, state_name:MAHARASHTRA, district_name:Hingoli",1177345,606294,571051,790743,450551,340192,182565,93379,89186,111954,57674,54280,569182,330903,238279,514371,54811,608163,241613,226483,8268,92818,863199,127552,992,643,176679,5278,103,2899,27700,159114,1221,9676,242456,41913,284369,175736,266649,127246,136075,74544,38698,5932,824880,331388,1156268,692117,281905,201828
"district_code:513, state_name:MAHARASHTRA, district_name:Parbhani",1836086,942870,893216,1157814,666291,491523,247308,125883,121425,40514,20570,19944,822797,501422,321375,756417,66380,1013289,295030,317806,13210,196751,1328385,306364,2081,1371,187899,6238,262,3486,59272,272486,3982,21196,293480,133759,427239,229217,396713,204316,229103,116041,81333,9703,1266426,552643,1819069,1078349,436486,313455
"district_code:514, state_name:MAHARASHTRA, district_name:Jalna",1959046,1011473,947573,1195523,699428,496095,272266,138957,133309,42263,21988,20275,930886,545030,385856,844492,86394,1028160,418952,300937,16705,194292,1504641,274221,12542,1629,152540,9619,336,3518,60219,288895,3791,17236,404746,98084,502830,271061,422207,218189,225331,120715,64060,9724,1331287,545980,1877267,1150104,454836,341479
"district_code:515, state_name:MAHARASHTRA, district_name:Aurangabad",3701282,1924469,1776813,2503837,1430936,1072901,539368,277228,262140,143366,73876,69490,1575079,1015864,559215,1446636,128443,2126203,554518,396630,28033,595898,2545438,786677,15991,5142,309093,30981,1005,6955,246324,589477,23258,69937,551789,427343,979132,381695,686271,422964,537936,310762,253253,19101,2611982,819734,3431716,2211996,909771,571932
"district_code:516, state_name:MAHARASHTRA, district_name:Nashik",6107187,3157186,2950001,4345366,2397538,1947828,554687,282213,272474,1564369,792547,771822,2763328,1746286,1017042,2523023,240305,3343859,967385,730228,56132,1009583,5237009,693052,23946,8912,94783,38212,1795,9478,536781,904710,45039,138887,904661,764271,1668932,544346,1038955,851714,830070,485052,373100,97219,4220456,1481778,5702234,3580633,1567252,948469
"district_code:517, state_name:MAHARASHTRA, district_name:Thane",11060148,5865078,5195070,8227161,4591396,3635765,730089,377885,352204,1542451,769192,773259,4492767,3363123,1129644,3930511,562256,6567381,349931,418004,124461,3600371,8716055,1355630,280700,39149,449617,172052,9862,37083,1610460,2231800,256170,551643,713994,2904157,3618151,712171,1530916,1588196,1751284,1080597,961719,114453,7739336,1692022,9431358,6184519,3241888,1579921
"district_code:518, state_name:MAHARASHTRA, district_name:Mumbai Suburban",9356962,5031323,4325639,7575485,4223029,3352456,583302,300291,283011,104560,55033,49527,3735021,2944322,790699,3515922,219099,5621941,16086,20722,118816,3579397,6337132,1795788,322476,47288,469568,343639,18345,22726,1586946,1964657,404757,652946,0,3078829,3078829,512268,1140066,1628031,1914168,1091433,1183117,189063,7658146,1111093,8769239,4936360,2812001,1575566
"district_code:519, state_name:MAHARASHTRA, district_name:Mumbai",3085411,1684608,1400803,2509022,1410680,1098342,219934,111564,108370,25093,13488,11605,1284396,1021009,263387,1209334,75062,1801015,6051,5745,45538,1227062,1873762,773173,84555,13471,134257,166000,31094,9099,494883,625927,121344,204234,0,1107321,1107321,118967,399792,603937,665263,378764,343374,57044,2567141,262312,2829453,1553005,933586,583243
"district_code:520, state_name:MAHARASHTRA, district_name:Raigarh",2634200,1344345,1289855,1939994,1059692,880302,134952,67980,66972,305125,153657,151468,1072969,753843,319126,858825,214144,1561231,206975,191182,32919,641893,2239370,227465,17452,7477,121791,12260,1159,7226,328277,547206,38570,96301,581868,377160,959028,231263,407662,335886,441072,221410,204507,19940,1861740,482420,2344160,1414154,748339,462741
"district_code:521, state_name:MAHARASHTRA, district_name:Pune",9429408,4924105,4505303,7171723,3940210,3231513,1180703,602755,577948,348876,179132,169744,4048993,2809816,1239177,3751221,297772,5380415,886530,414461,105711,2642291,8090254,673704,134192,27090,340404,127786,9873,26105,1410448,1925019,235018,490260,1165718,2056739,3222457,559840,1234549,1383055,1414563,867256,1086650,190336,6736249,1353077,8089326,5184734,2624165,1586132
"district_code:522, state_name:MAHARASHTRA, district_name:Ahmadnagar",4543159,2342825,2200334,3151890,1773355,1378535,573698,291521,282177,378230,191165,187065,2204590,1300309,904281,2039455,165135,2338569,1013050,559009,57156,575375,4107143,320743,22766,5431,33898,38718,1408,13052,300116,677592,18370,68902,1041393,282011,1323404,483996,833691,580959,745895,411908,315842,32304,3404595,1061271,4465866,2496560,1166245,865139
"district_code:523, state_name:MAHARASHTRA, district_name:Bid",2585049,1349106,1235943,1718507,987185,731322,351254,179777,171477,32722,16806,15916,1255548,727819,527729,1154708,100840,1329501,606280,373566,21093,254609,2174672,320395,2097,824,68482,8719,399,9461,82098,402052,5614,29198,563114,135457,698571,309704,436446,280800,316758,206530,129996,11438,1691672,821607,2513279,1473882,614615,494436
"district_code:524, state_name:MAHARASHTRA, district_name:Latur",2454196,1273140,1181056,1650672,932432,718240,480913,247918,232995,57488,29872,27616,1046857,670018,376839,964177,82680,1407339,331780,416578,17663,280836,2006984,367664,2387,935,66535,6387,310,2994,96018,381722,6217,29758,428616,157016,585632,268627,423711,296910,380344,224998,153256,18106,1765952,596213,2362165,1406364,584243,453229
"district_code:525, state_name:MAHARASHTRA, district_name:Osmanabad",1657576,861535,796041,1137810,644304,493506,265184,136354,128830,36039,18569,17470,773916,473795,300121,701894,72022,883660,297361,299525,19831,157199,1437623,178925,942,340,28216,4530,195,6805,49180,240042,3209,18183,367158,77832,444990,183972,300965,201646,260772,139479,96847,9913,1193594,440363,1633957,917343,393539,343021
"district_code:526, state_name:MAHARASHTRA, district_name:Solapur",4317756,2227852,2089904,2910676,1651266,1259410,649745,331960,317785,77592,39785,37807,1898395,1206933,691462,1763175,135220,2419361,637250,558334,71106,631705,3795424,441254,9882,1279,35497,28134,568,5718,248255,595560,15145,59296,779929,376302,1156231,390337,788150,535848,643327,328020,236302,29051,2951035,976795,3927830,2402794,1089900,809935
"district_code:527, state_name:MAHARASHTRA, district_name:Satara",3003741,1510842,1492899,2225694,1201034,1024660,323236,161703,161533,29635,15210,14425,1354947,844805,510142,1184407,170540,1648794,585876,297241,39772,432058,2691952,146970,4408,1182,141315,12810,676,4428,271186,562653,14093,57423,774522,200949,975471,288427,495822,407977,556706,299993,243457,20884,2313266,545423,2858689,1517324,800492,671702
"district_code:528, state_name:MAHARASHTRA, district_name:Ratnagiri",1615069,761121,853948,1199392,619012,580380,66948,31967,34981,20374,10402,9972,714076,407008,307068,554973,159103,900993,296913,153117,17230,246816,1307211,187197,1990,230,113467,3347,95,1532,100860,367352,7752,31062,538538,100824,639362,163025,378554,269872,247257,111600,65700,15429,1251437,319622,1571059,777431,438905,396967
"district_code:529, state_name:MAHARASHTRA, district_name:Sindhudurg",849651,417332,432319,666067,348289,317778,55586,26830,28756,6976,3575,3401,347178,229676,117502,226538,120640,502473,124812,81816,9679,130871,780384,26264,15471,219,24762,1046,53,1452,42540,194228,3517,15721,295847,44989,340836,86480,165284,134734,175070,89023,48418,3451,702460,121922,824382,382024,242296,222963
"district_code:530, state_name:MAHARASHTRA, district_name:Kolhapur",3876001,1980658,1895343,2825845,1559760,1266085,504461,253390,251071,30206,15478,14728,1704054,1125204,578850,1508563,195491,2171947,660872,266028,59932,717222,3379906,286558,15573,1570,29766,154882,1274,6472,340318,770005,22269,71879,796496,382818,1179314,321457,622362,487227,698604,395234,335413,40828,2901125,778000,3679125,1972486,1084858,801590
"district_code:531, state_name:MAHARASHTRA, district_name:Sangli",2822143,1435728,1386415,2049467,1121550,927917,353093,177108,175985,18333,9406,8927,1215104,800214,414890,1074948,140156,1607039,480554,290693,40824,403033,2440312,239607,9098,1260,38210,87453,769,5434,227034,485126,13212,49056,626872,226801,853673,208511,507318,459156,453404,244804,214003,36983,2124179,579039,2703218,1450907,752303,603739
"district_code:532, state_name:ANDHRA PRADESH, district_name:Adilabad",2741239,1369597,1371642,1483347,856350,626997,488596,242844,245752,495794,247472,248322,1323667,748939,574728,1066460,257207,1417572,363737,484912,84661,390357,2399901,275970,15422,1377,25510,617,322,22120,194954,566108,5512,45202,597466,220248,817714,232470,344167,281752,225957,143143,100226,19277,1346992,1030640,2377632,1536378,704551,422522
"district_code:533, state_name:ANDHRA PRADESH, district_name:Nizamabad",2551335,1250641,1300694,1389810,790214,599596,371074,178798,192276,192941,95679,97262,1261076,684320,576756,1055965,205111,1290259,278102,448281,171311,363382,2123426,391596,19653,2357,1847,542,146,11768,186740,545913,5261,35036,565165,155133,720298,269487,421399,338668,396396,223365,141850,13382,1804547,1041862,2846409,1399773,676401,437573
"district_code:534, state_name:ANDHRA PRADESH, district_name:Karimnagar",3776269,1880800,1895469,2206829,1257238,949591,709757,352481,357276,106745,53495,53250,1876768,1049463,827305,1590304,286464,1899501,360390,756859,168340,591179,3491139,244723,24979,2086,332,312,115,12583,344667,926768,8831,46584,877236,288044,1165280,340372,453505,482842,463403,293493,256633,35312,2325560,1280393,3605953,1940234,1031735,728494
"district_code:535, state_name:ANDHRA PRADESH, district_name:Medak",3033288,1523030,1510258,1637137,953406,683731,537947,266413,271534,168985,86574,82411,1442203,837874,604329,1195494,246709,1591085,353221,571129,67642,450211,2637313,342449,34301,1309,554,457,217,16688,163074,604719,8635,47170,593653,195479,789132,324267,503713,481984,373729,201928,127493,16466,2029580,1199818,3229398,1735769,779738,509368
"district_code:536, state_name:ANDHRA PRADESH, district_name:Hyderabad",3943323,2018575,1924748,2892155,1542688,1349467,247927,124313,123614,48937,25556,23381,1413297,1045585,367712,1096081,317216,2530026,28308,23029,46157,1315803,2046051,1713405,87522,11446,1268,19560,1929,62142,581509,869721,149034,274653,0,1066289,1066289,230962,596591,685215,811501,517425,558090,45937,3445721,556902,4002623,2249130,1068243,542669
"district_code:537, state_name:ANDHRA PRADESH, district_name:Rangareddy",5296741,2701008,2595733,3538028,1948784,1589244,652042,328011,324031,218757,112768,105989,2196078,1488916,707162,1834777,361301,3100663,270925,349032,73387,1502734,4458858,617518,144037,8062,2041,3536,1629,61060,773246,1211352,142879,291745,432098,1129224,1561322,457916,756588,809283,821821,598940,740896,57436,4242880,1158473,5401353,2966988,1455864,738037
"district_code:538, state_name:ANDHRA PRADESH, district_name:Mahbubnagar",4053028,2050386,2002642,1940646,1158386,782260,708954,356099,352855,364269,187035,177234,2082501,1140067,942434,1815643,266858,1970527,569142,931084,57846,524429,3673456,334172,21345,658,290,388,267,22452,136843,757821,6153,60812,848963,161052,1010015,419379,596134,441585,308575,169083,98227,16121,2049104,1604319,3653423,2360874,1027525,637430
"district_code:539, state_name:ANDHRA PRADESH, district_name:Nalgonda",3488809,1759772,1729037,2001019,1160757,840262,637385,318359,319026,394279,203876,190403,1741693,976428,765265,1493419,248274,1747116,325224,863131,45124,508214,3249231,188646,35025,937,241,250,132,14347,228818,789225,7715,53777,833504,197433,1030937,369537,518669,471233,367424,238695,196134,27003,2188695,1294811,3483506,1932349,897137,651748
"district_code:540, state_name:ANDHRA PRADESH, district_name:Warangal",3512576,1759281,1753295,2065023,1179790,885233,616102,307709,308393,530656,268976,261680,1705655,960926,744729,1442197,263458,1806921,401646,758092,43550,502367,3273755,197333,31377,1453,253,569,126,7710,237349,828077,12952,59006,758738,288249,1046987,314252,457529,454322,430242,279234,248942,27663,2212184,1191252,3403436,1891954,941452,664872
"district_code:541, state_name:ANDHRA PRADESH, district_name:Khammam",2797370,1390988,1406382,1630234,901640,728594,462896,229905,232991,765565,378532,387033,1410062,802906,607156,1215871,194191,1387308,224972,804537,19799,360754,2595321,158887,33463,655,217,459,539,7829,219710,668519,8628,42171,669262,201363,870625,295639,346118,329630,238811,154774,160804,25456,1551232,875272,2426504,1530602,774583,477955
"district_code:542, state_name:ANDHRA PRADESH, district_name:Srikakulam",2703114,1341738,1361376,1495381,857824,637557,255664,125214,130450,166118,81382,84736,1290288,766483,523805,936244,354044,1412826,165317,700833,34479,389659,2666950,9025,18879,193,77,160,106,7724,149554,615432,3988,32280,752752,149684,902436,291793,348354,319244,251521,146721,121213,21031,1499877,1009992,2509869,1423119,747385,528736
"district_code:543, state_name:ANDHRA PRADESH, district_name:Vizianagaram",2344474,1161477,1182997,1238388,707503,530885,247728,121493,126235,235556,114687,120869,1157962,679289,478673,953215,204747,1186512,212285,557254,27469,360954,2299129,16423,17853,380,114,815,183,9577,140361,527736,4453,24128,592458,157056,749514,250446,300057,257468,186576,115144,103591,27041,1240323,1031683,2272006,1206366,666394,451469
"district_code:544, state_name:ANDHRA PRADESH, district_name:Visakhapatnam",4290589,2138910,2151679,2568249,1422878,1145371,329486,162873,166613,618500,302905,315595,1889879,1239064,650815,1481139,408740,2400710,322164,578949,54545,934221,4105320,86330,77607,2301,850,2316,286,15579,495389,1010250,45492,124729,718847,660493,1379340,414636,568178,649271,541942,329770,289734,44164,2837695,1418851,4256546,2274553,1245627,716066
"district_code:545, state_name:ANDHRA PRADESH, district_name:East Godavari",5154296,2569688,2584608,3288577,1716933,1571644,945269,468883,476386,213195,104422,108773,2093681,1545831,547850,1748117,345564,3060615,160407,1122046,57853,753375,4983330,77777,77825,738,413,4149,403,9661,479914,1297273,22411,93784,1199479,406362,1605841,669420,947606,797497,521562,271809,263023,47702,3518619,1524603,5043222,2724328,1478954,948122
"district_code:546, state_name:ANDHRA PRADESH, district_name:West Godavari",3936966,1964918,1972048,2652389,1379223,1273166,811698,403693,408005,109072,53367,55705,1773112,1199338,573774,1534166,238946,2163854,155275,1061787,33861,522189,3733191,86142,109120,288,209,1578,211,6227,435334,1017568,12050,55613,1007255,248373,1255628,595331,718960,585595,415178,215863,207586,33329,2771842,1028767,3800609,2051513,1127764,755533
"district_code:547, state_name:ANDHRA PRADESH, district_name:Krishna",4517398,2267375,2250023,3009718,1598959,1410759,871063,435412,435651,132464,66734,65730,2048880,1327299,721581,1744978,303902,2468518,150166,1006976,48444,843294,4023678,307043,145598,1393,863,6320,906,31597,632890,1163932,30438,101450,909292,567042,1476334,618101,692968,630603,531821,312753,328454,54728,3169428,1352499,4521927,2340943,1284630,833959
"district_code:548, state_name:ANDHRA PRADESH, district_name:Guntur",4887813,2440521,2447292,2960441,1634726,1325715,957407,476333,481074,247089,125105,121984,2381624,1442370,939254,2106326,275298,2506189,302341,1227956,47436,803891,4217597,559770,89763,764,323,3282,332,15982,648568,1186028,19383,80434,1069877,513113,1582990,736270,845810,674957,453446,246580,221924,30279,3209266,1474349,4683615,2583462,1371811,928462
"district_code:549, state_name:ANDHRA PRADESH, district_name:Prakasam",3397448,1714764,1682684,1904435,1107686,796749,787861,397242,390619,151145,76677,74468,1700567,991842,708725,1463508,237059,1696881,280029,889218,42603,488717,3150195,220654,18775,266,97,204,206,7051,290947,763746,6151,43611,873486,214089,1087575,489805,495556,368919,249034,142026,133627,21976,1900943,1218310,3119253,1832695,917391,641707
"district_code:550, state_name:ANDHRA PRADESH, district_name:Sri Potti Sriramulu Nellore",2963557,1492974,1470583,1832189,1011922,820267,666588,332673,333915,285997,145168,140829,1314561,859880,454681,1076544,238017,1648996,165513,625262,35403,488383,2639737,288378,26202,678,239,2610,146,5567,233623,696024,10201,39583,689137,264376,953513,437438,451130,370710,267243,161031,148394,27865,1863811,940785,2804596,1574713,840448,544022
"district_code:551, state_name:ANDHRA PRADESH, district_name:Y.S.R.",2882469,1451777,1430692,1716766,994699,722067,465794,232123,233671,75886,38571,37315,1320404,823886,496518,1079903,240501,1562065,243607,542455,55824,478518,2391231,454108,23281,367,105,751,245,12381,209532,671764,6667,39923,590589,293504,884093,408650,509166,413364,258798,140145,116330,16231,1862684,893657,2756341,1553667,793583,530412
"district_code:552, state_name:ANDHRA PRADESH, district_name:Kurnool",4053463,2039227,2014236,2127161,1246369,880792,737945,370215,367730,82831,42052,40779,2029425,1164122,865303,1757520,271905,2024038,310954,1037302,60791,620378,3328380,670737,33165,737,255,2235,434,17520,195001,816721,10081,56478,783853,306982,1090835,521327,672951,466940,271828,152453,115504,19282,2220285,1517933,3738218,2368684,1053618,609027
"district_code:553, state_name:ANDHRA PRADESH, district_name:Anantapur",4081148,2064495,2016653,2310960,1338474,972486,583135,292379,290756,154127,78573,75554,2036166,1208544,827622,1679655,356511,2044982,413253,879537,105343,638033,3599372,443456,20463,932,341,1417,309,14858,223016,897970,8606,48299,902997,341431,1244428,462273,720357,582075,331793,162175,144915,23341,2426929,1369069,3795998,2189396,1104565,739612
"district_code:554, state_name:ANDHRA PRADESH, district_name:Chittoor",4174064,2090204,2083860,2667878,1484794,1183084,785760,389582,396178,159165,79756,79409,1933357,1202223,731134,1669852,263505,2240707,434544,748093,57269,693451,3737588,397870,24129,867,253,1322,358,11677,324406,944555,13763,67087,907970,395900,1303870,522961,770836,673197,548336,265199,246409,36017,3062955,1170993,4233948,2148179,1159053,807430
"district_code:555, state_name:KARNATAKA, district_name:Belgaum",4779661,2423063,2356598,3052032,1725548,1326484,577418,289096,288322,297198,148673,148525,2105668,1372422,733246,1734501,371167,2673993,711980,649517,60342,683829,4038331,528412,18418,2037,1086,178310,149,12918,240742,808827,17560,73497,962777,356198,1318975,544564,1057297,609600,532584,279583,201884,56621,3282133,1346776,4628909,2669348,1251116,857143
"district_code:556, state_name:KARNATAKA, district_name:Bagalkot",1889752,950111,939641,1113412,641388,472024,319149,158135,161014,97203,48470,48733,818081,511575,306506,676407,141674,1071671,196199,303243,44797,273842,1634229,219991,3433,443,412,25198,166,5880,49345,301389,3745,26297,324799,165858,490657,242336,385986,147397,171505,115095,82319,25791,1170429,608843,1779272,1123443,465706,299774
"district_code:557, state_name:KARNATAKA, district_name:Bijapur",2177331,1111022,1066309,1248268,730566,517702,442773,226440,216333,39314,19912,19402,927722,580111,347611,760083,167639,1249609,262217,351600,25379,288526,1786830,369588,2433,558,374,8665,499,8384,58890,326594,4987,36571,396449,131041,527490,246391,430477,143199,182756,129109,96990,24569,1253491,746979,2000470,1295274,527085,353549
"district_code:558, state_name:KARNATAKA, district_name:Bidar",1703300,870665,832635,1042673,597198,445475,399785,204280,195505,235822,119787,116035,702608,459050,243558,551763,150845,1000692,141302,280091,18095,263120,1289709,335184,35438,1145,30453,680,521,10170,34924,271439,3971,36072,287134,102269,389403,188998,474921,194233,181076,105347,54900,12885,1212360,515395,1727755,1018195,397120,287271
"district_code:559, state_name:KARNATAKA, district_name:Raichur",1928812,964511,964301,979769,577213,402556,400933,200359,200574,367071,182101,184970,903413,530373,373040,725985,177428,1025399,245299,383526,19095,255493,1634062,272022,10394,538,2265,4156,29,5346,51443,314547,5200,33903,330446,125402,455848,147743,385673,163709,153346,82082,50463,14622,997638,783126,1780764,1196670,465173,265810
"district_code:560, state_name:KARNATAKA, district_name:Koppal",1389920,699926,689994,809085,468785,340300,258608,129341,129267,164271,82761,81510,654766,387974,266792,508089,146677,735154,163413,273016,18794,199543,1218024,161770,4081,296,85,2898,461,2305,31673,223166,2135,15263,272968,64681,337649,222140,357098,127605,113028,72243,43967,10431,946512,472182,1418694,855430,330393,202984
"district_code:561, state_name:KARNATAKA, district_name:Gadag",1064570,537147,527423,700177,397178,302999,174196,87745,86451,61654,30975,30679,495722,310412,185310,423451,72271,568848,127441,200310,15485,152486,907750,143665,3432,231,79,5993,74,3346,31959,198064,3373,15625,180066,111906,291972,121615,244640,112703,105150,63816,42053,12822,702799,306138,1008937,601578,279069,183409
"district_code:562, state_name:KARNATAKA, district_name:Dharwad",1847023,937206,909817,1301664,711776,589888,177855,89137,88718,87548,44173,43375,784833,543776,241057,690948,93885,1062190,164279,207642,16463,396449,1390020,386834,28747,1486,715,29037,2748,7436,140584,347962,15013,49585,199707,283397,483104,252596,383041,185530,227113,143453,137768,34302,1363803,428556,1792359,1017935,505688,322577
"district_code:563, state_name:KARNATAKA, district_name:Uttara Kannada",1437169,726256,710913,1081906,582099,499807,116431,57841,58590,34239,17095,17144,608526,430565,177961,498304,110222,828643,111581,116336,9492,371117,1187306,187974,44530,305,12804,3624,64,562,88187,290791,6129,21501,334281,140511,474792,198632,338390,183534,210270,108521,94767,22876,1156990,277857,1434847,742281,412649,281542
"district_code:564, state_name:KARNATAKA, district_name:Haveri",1597668,819128,778540,1085443,603793,481650,219976,112212,107764,141380,72109,69271,730066,490731,239335,601951,128115,867602,203055,311263,20217,195531,1281878,297927,2406,419,68,9834,702,4434,41517,295937,2456,17819,315076,98488,413564,240925,430529,201965,158442,84357,55310,16830,1188358,383494,1571852,904453,426094,266586
"district_code:565, state_name:KARNATAKA, district_name:Bellary",2452595,1236954,1215641,1421621,813440,608181,517409,258582,258827,451406,225451,225955,1116880,703258,413622,969388,147492,1335715,258080,406092,22832,429876,2103633,320834,14014,1029,284,8044,54,4703,114040,440374,9626,40190,371604,251876,623480,275785,529576,219702,203139,121453,89475,29367,1468497,787762,2256259,1487013,617276,346905
"district_code:566, state_name:KARNATAKA, district_name:Chitradurga",1659456,840843,818613,1087392,607188,480204,389117,196819,192298,302554,152939,149615,856587,513311,343276,667479,189108,802869,286245,294337,26235,249770,1520553,128751,3175,322,84,3778,128,2665,60522,307257,5711,28897,349704,97644,447348,188329,332648,196470,217567,132435,75262,22078,1164789,452975,1617764,891230,460057,306412
